time,backRightPower,backLeftPower,frontLeftPower,frontRightPower,isClampAtMax,targetElevatorPosition,clampState,basketState,targetArmPosition
0.107181969,-0.5134991123333333,-0.5134991123333333,-0.5134991123333333,-0.5134991123333333,false,DEFAULT,CLOSED,OPEN,HIGH
0.154115515,-0.536306087,-0.536306087,-0.536306087,-0.536306087,false,DEFAULT,CLOSED,OPEN,HIGH
0.199985937,-0.5519690746666667,-0.5519690746666667,-0.5519690746666667,-0.5519690746666667,false,DEFAULT,CLOSED,OPEN,HIGH
0.257333442,-0.567226451,-0.567226451,-0.567226451,-0.567226451,false,DEFAULT,CLOSED,OPEN,HIGH
0.307759114,-0.5863319810000001,-0.5863319810000001,-0.5863319810000001,-0.5863319810000001,false,DEFAULT,CLOSED,OPEN,HIGH
0.357737369,-0.6,-0.6,-0.6,-0.6,false,DEFAULT,CLOSED,OPEN,HIGH
0.402440832,-0.6,-0.6,-0.6,-0.6,false,DEFAULT,CLOSED,OPEN,HIGH
0.454110462,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.499555633,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.566064973,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.623467313,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.665269275,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.704815779,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.744225491,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.785047162,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.828564416,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.868257046,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.906521674,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.955657013,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.995256892,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.036649354,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.098003194,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.152902741,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.192070078,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.231212915,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.280585087,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.322241508,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.365968471,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.406268933,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.445127978,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.505739818,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.546972739,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.600172744,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.662820125,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.71128813,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.753323134,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.79695268,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.836536226,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.877547772,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.922141568,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.965749531,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.01076041,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.046511456,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.080443084,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.118268754,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.164883217,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.20855418,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
