time,backRightPower,backLeftPower,frontLeftPower,frontRightPower,isClampAtMax,targetElevatorPosition,clampState,basketState,targetArmPosition
0.123583263,-0.515164335,-0.515164335,-0.515164335,-0.515164335,false,DEFAULT,CLOSED,OPEN,HIGH
0.170772601,-0.5417070736666667,-0.5417070736666667,-0.5417070736666667,-0.5417070736666667,false,DEFAULT,CLOSED,OPEN,HIGH
0.215930188,-0.557415853,-0.557415853,-0.557415853,-0.557415853,false,DEFAULT,CLOSED,OPEN,HIGH
0.26530761,-0.572609938,-0.572609938,-0.572609938,-0.572609938,false,DEFAULT,CLOSED,OPEN,HIGH
0.31168349,-0.5889499813333333,-0.5889499813333333,-0.5889499813333333,-0.5889499813333333,false,DEFAULT,CLOSED,OPEN,HIGH
0.362955287,-0.6,-0.6,-0.6,-0.6,false,DEFAULT,CLOSED,OPEN,HIGH
0.4153395,-0.6,-0.6,-0.6,-0.6,false,DEFAULT,CLOSED,OPEN,HIGH
0.456315754,-0.6,-0.6,-0.6,-0.6,false,DEFAULT,CLOSED,OPEN,HIGH
0.502105967,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.553010847,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.602142394,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.64670994,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.693424445,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.730164823,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.767508661,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.804574539,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.851105586,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.888760923,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.922008593,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
0.96272468,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.008598893,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.060363607,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.115089904,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.162914784,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.201019287,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.253185626,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.29441213,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.341338677,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,OPEN,HIGH
1.385249973,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.427881727,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.469536689,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.532998112,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.584198743,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.634685664,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.677848835,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.717091714,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.754721385,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.799700473,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.838536476,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.879108772,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.917606443,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.955107488,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
1.992920325,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.042856872,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.100877545,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.155108592,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
