time,backRightPower,backLeftPower,frontLeftPower,frontRightPower,isClampAtMax,targetElevatorPosition,clampState,basketState,targetArmPosition
0.123118929,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.164539683,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.203878229,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.25075315,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.292749071,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.334317409,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.373611038,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.414872833,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.454643629,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.496445592,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.56373339,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.624976396,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.668048859,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.71208528,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.756276284,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.799646538,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.848001377,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.887940756,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.929971968,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
0.971007723,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.017361144,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.08041015,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.161081658,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.203775538,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.247686834,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.288196129,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.330858509,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.375914013,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,OPEN,HIGH
1.432255852,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.473044273,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.513624735,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.562279115,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.614552204,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.686511044,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.725820132,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.765278552,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.81217214,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.85945102,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.907848733,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.95352753,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
1.994553367,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
2.033618329,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
2.07409175,0.0,0.0,0.0,0.0,false,DEFAULT,CLOSED,CLOSED,HIGH
2.119903255,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.164268092,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.219831765,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.255483643,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.29263148,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.327759234,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.362940071,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.398792324,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.435654328,0.0,0.0,0.0,0.0,true,DEFAULT,CLOSED,CLOSED,HIGH
2.491201375,-0.51231689,-0.51231689,-0.51231689,-0.51231689,true,DEFAULT,CLOSED,CLOSED,HIGH
